일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV595,<35,Undergraduate,Man,No,Dev,6,3,United States of America,122000.0,2.0
DEV596,<35,Undergraduate,Man,No,Dev,9,3,India,25131.0,18.0
DEV597,>35,Undergraduate,Man,No,Dev,20,15,United States of America,89000.0,9.0
DEV598,>35,Undergraduate,Man,No,Dev,21,13,United States of America,170000.0,21.0
DEV599,>35,Undergraduate,Man,No,Dev,32,18,United Kingdom of Great Britain and Northern Ireland,113100.0,8.0
DEV600,>35,Undergraduate,Man,No,Dev,15,12,United Kingdom of Great Britain and Northern Ireland,77556.0,9.0
DEV601,>35,Master,Man,No,Dev,29,24,United Kingdom of Great Britain and Northern Ireland,64630.0,27.0
DEV602,>35,Undergraduate,Man,Yes,Dev,20,14,United States of America,145000.0,15.0
DEV603,<35,Undergraduate,Man,No,Dev,5,5,India,16752.0,15.0
DEV604,>35,Undergraduate,Man,No,Dev,25,12,Germany,140527.0,10.0
DEV605,>35,Other,Man,No,NotDev,25,9,India,17033.0,7.0
DEV606,<35,Other,Man,No,Dev,5,2,India,3348.0,15.0
DEV607,<35,Master,Man,No,Dev,20,5,Germany,51888.0,6.0
DEV608,>35,Undergraduate,Man,No,Dev,20,15,Canada,75631.0,22.0
DEV609,>35,PhD,Woman,Yes,Dev,33,25,United Kingdom of Great Britain and Northern Ireland,77556.0,8.0
DEV610,<35,Undergraduate,Man,Yes,Dev,9,7,India,11724.0,7.0
DEV611,<35,Master,Man,No,Dev,4,3,India,7958.0,9.0
DEV612,<35,Undergraduate,Man,No,NotDev,11,9,Canada,83951.0,7.0
DEV613,<35,Undergraduate,Man,No,NotDev,1,3,India,9075.0,3.0
DEV614,<35,Undergraduate,Man,No,Dev,8,7,United States of America,60000.0,6.0
DEV615,<35,Other,Woman,Yes,Dev,7,3,United Kingdom of Great Britain and Northern Ireland,22620.0,10.0
DEV616,>35,PhD,Man,No,Dev,16,7,United States of America,196950.0,11.0
DEV617,<35,Undergraduate,Man,No,Dev,7,2,United States of America,69000.0,8.0
DEV618,>35,Master,Man,No,Dev,40,40,United Kingdom of Great Britain and Northern Ireland,68507.0,2.0
